Sujeto,Relacion,Objeto
Levetiracetam,pertenece_a,Antiepileptico
Lamotrigina,pertenece_a,Antiepileptico
Valproato,pertenece_a,Antiepileptico
Sumatriptan,pertenece_a,Triptan
Sumatriptan,pertenece_a,Antimigranoso
Topiramato,pertenece_a,Antiepileptico
Topiramato,pertenece_a,Antimigranoso
Levodopa,pertenece_a,Antiparkinsoniano
Pramipexol,pertenece_a,Agonista_Dopaminergico
Pramipexol,pertenece_a,Antiparkinsoniano
Metotrexato,pertenece_a,DMARD
Metotrexato,pertenece_a,Inmunosupresor
Sulfasalazina,pertenece_a,DMARD
Alopurinol,pertenece_a,Hipouricemiante
Colchicina,pertenece_a,Antigotoso
Levotiroxina,pertenece_a,Hormona_Tiroidea
Metimazol,pertenece_a,Antitiroideo
Azatioprina,pertenece_a,Inmunosupresor
Mesalazina,pertenece_a,Aminosalicilato
Sertralina,pertenece_a,ISRS
Sertralina,pertenece_a,Antidepresivo
Fluoxetina,pertenece_a,ISRS
Fluoxetina,pertenece_a,Antidepresivo
Hidroxicloroquina,pertenece_a,Antirreumatico
Alendronato,pertenece_a,Bifosfonato
Antiepileptico,incluye,Levetiracetam
Antiepileptico,incluye,Valproato
Lamotrigina,es_alternativa_a,Levetiracetam
Fluoxetina,es_alternativa_a,Sertralina
Levetiracetam,trata,Epilepsia_Focal
Lamotrigina,trata,Epilepsia_Focal
Valproato,trata,Epilepsia_Focal
Valproato,trata,Migrana_Cronica
Sumatriptan,trata,Migrana_Cronica
Topiramato,trata,Migrana_Cronica
Topiramato,trata,Epilepsia_Focal
Levodopa,trata,Enfermedad_Parkinson
Pramipexol,trata,Enfermedad_Parkinson
Metotrexato,trata,Artritis_Reumatoide
Metotrexato,trata,Lupus_Eritematoso
Sulfasalazina,trata,Artritis_Reumatoide
Alopurinol,trata,Gota
Colchicina,trata,Gota
Levotiroxina,trata,Hipotiroidismo
Metimazol,trata,Hipertiroidismo
Azatioprina,trata,Enfermedad_Crohn
Azatioprina,trata,Lupus_Eritematoso
Mesalazina,trata,Enfermedad_Crohn
Mesalazina,trata,Colitis_Ulcerosa
Sertralina,trata,Depresion_Mayor
Fluoxetina,trata,Depresion_Mayor
Hidroxicloroquina,trata,Lupus_Eritematoso
Hidroxicloroquina,trata,Artritis_Reumatoide
Alendronato,trata,Osteoporosis
Metotrexato,contraindicado_con,Embarazo
Metotrexato,contraindicado_con,Insuficiencia_Hepatica
Metotrexato,contraindicado_con,Insuficiencia_Renal
Valproato,contraindicado_con,Embarazo
Valproato,contraindicado_con,Insuficiencia_Hepatica
Topiramato,contraindicado_con,Embarazo
Sumatriptan,contraindicado_con,Enfermedad_Coronaria
Sumatriptan,contraindicado_con,HTA_No_Controlada
Alopurinol,contraindicado_con,Hipersensibilidad_Alopurinol
Colchicina,contraindicado_con,Insuficiencia_Renal_Severa
Metimazol,contraindicado_con,Embarazo
Metimazol,contraindicado_con,Agranulocitosis_Previa
Azatioprina,contraindicado_con,Embarazo
Azatioprina,contraindicado_con,Deficit_TPMT
Hidroxicloroquina,contraindicado_con,Retinopatia
Levodopa,contraindicado_con,Glaucoma_Angulo_Cerrado
Levodopa,contraindicado_con,Melanoma
Alendronato,contraindicado_con,Insuficiencia_Renal_Severa
Alendronato,contraindicado_con,Esofagitis
DMARD,contraindicado_con,Embarazo
Inmunosupresor,contraindicado_con,Infeccion_Activa
Inmunosupresor,contraindicado_con,Embarazo
ISRS,contraindicado_con,Uso_IMAO
Triptan,contraindicado_con,Enfermedad_Coronaria
Metotrexato,requiere_monitorizacion,Funcion_Hepatica
Metotrexato,requiere_monitorizacion,Hemograma
Valproato,requiere_monitorizacion,Funcion_Hepatica
Valproato,requiere_monitorizacion,Amonio_Serico
Levetiracetam,requiere_monitorizacion,Funcion_Renal
Alopurinol,requiere_monitorizacion,Funcion_Renal
Levotiroxina,requiere_monitorizacion,TSH
Metimazol,requiere_monitorizacion,Hemograma
Metimazol,requiere_monitorizacion,Funcion_Hepatica
Azatioprina,requiere_monitorizacion,Hemograma
Hidroxicloroquina,requiere_monitorizacion,Examen_Oftalmologico
Sertralina,requiere_monitorizacion,Sodio_Serico
Colchicina,requiere_monitorizacion,Funcion_Renal
Alendronato,requiere_monitorizacion,Funcion_Renal
Topiramato,requiere_monitorizacion,Bicarbonato_Serico
Sumatriptan,requiere_monitorizacion,Presion_Arterial
Inmunosupresor,requiere_monitorizacion,Hemograma
Epilepsia_Focal,implica,Riesgo_Estatus_Epileptico
Enfermedad_Parkinson,implica,Riesgo_Caidas
Artritis_Reumatoide,implica,Riesgo_Deformidad_Articular
Artritis_Reumatoide,implica,Riesgo_Cardiovascular
Gota,implica,Riesgo_Nefrolitiasis
Hipotiroidismo,implica,Riesgo_Mixedema
Hipertiroidismo,implica,Riesgo_Tormenta_Tiroidea
Enfermedad_Crohn,implica,Riesgo_Obstruccion_Intestinal
Enfermedad_Crohn,implica,Riesgo_Malnutricion
Depresion_Mayor,implica,Riesgo_Recaida_Depresiva
Lupus_Eritematoso,implica,Riesgo_Nefritis_Lupica
Lupus_Eritematoso,implica,Riesgo_Cardiovascular
Osteoporosis,implica,Riesgo_Fractura
Embarazo,implica,Contraindicacion_Valproato
Embarazo,implica,Contraindicacion_Metotrexato
Insuficiencia_Renal,implica,Precaucion_Nefrotoxicos
Insuficiencia_Hepatica,implica,Precaucion_Hepatotoxicos
Retinopatia,implica,Contraindicacion_Hidroxicloroquina
Enfermedad_Coronaria,implica,Contraindicacion_Triptan
Migrana_Cronica,implica,Riesgo_Cronificacion
Hiperuricemia,implica,Riesgo_Nefrolitiasis
Enfermedad_Inflamatoria_Intestinal,implica,Riesgo_Obstruccion_Intestinal
Deficit_TPMT,implica,Contraindicacion_Azatioprina
Protocolo_Epilepsia,trata,Epilepsia_Focal
Protocolo_Epilepsia,requiere_sintoma,Crisis_Convulsiva
Protocolo_Epilepsia,requiere_sintoma,Perdida_Conciencia
Protocolo_Epilepsia,requiere_prueba,Electroencefalograma
Protocolo_Epilepsia,requiere_prueba,RMN_Cerebral
Protocolo_Epilepsia,recibe_tratamiento,Levetiracetam
Protocolo_Epilepsia,alternativa_tratamiento,Lamotrigina
Protocolo_Migrana,trata,Migrana_Cronica
Protocolo_Migrana,requiere_sintoma,Cefalea_Pulsatil
Protocolo_Migrana,requiere_sintoma,Fotofobia
